"7 Апреля 2019 [11 45]" "8 апреля в горах Дагестана выше 2500 м  в горах Республики Алтай лавиноопасно "
"25 Марта 2019 [14 45]" "В ближайшие 1-3 часа с сохранением вечером 25 марта местами в Чувашии ожидается очень сильный снег "
"25 Марта 2019 [13 25]" "В ближайшие 1-2 часа с сохранением до конца дня и вечером 25 марта местами в западных районах Татарстана ожидается очень сильный снег "
"25 Марта 2019 [10 25]" "В период с 18 часов 25 марта до 18 часов 26 марта в горах Кабардино-Балкарии и Северной Осетии выше 2000 м  в горах Карачаево-Черкесии и Дагестана выше 2500 м лавиноопасно  С 18 ч 25 марта до 18 ч 28 марта в горах Краснодарского края и Адыгеи выше 1500 м лавиноопасно  в Ингушетии и Чеченской Республике выше 2000 м лавиноопасно "
"25 Марта 2019 [08 45]" "Ночью и утром 26 марта в Адыгее сохранятся заморозки  температура -4   -1°  "
"24 Марта 2019 [22 35]" "Ночью и утром 25 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края сохранится ветер 22-27 м/с "
"24 Марта 2019 [13 40]" "25 марта в горах Республики Алтай лавиноопасно "
"24 Марта 2019 [07 55]" "С 15 00 МСК с сохранением до конца суток 24 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается ветер 22-27 м/с "
"24 Марта 2019 [07 52]" "24 марта на севере Бурятии лавиноопасно "
"23 Марта 2019 [11 45]" "24 марта в горных районах МО город-курорт Сочи выше 1000 м  Краснодарский край   в горах Кабардино-Балкарии  Северной Осетии  Ингушетии  Чеченской Республики выше 2000 м  Карачаево-Черкесии  Дагестана выше 2500 м лавиноопасно "
"23 Марта 2019 [11 10]" "До конца дня 23 марта в Ульяновской области местами  в ближайшие 2 часа с сохранением до конца суток 23 марта местами по южной половине Краснодарского края  исключая МО Сочи  ожидается сильное налипание мокрого снега на проводах и деревьях "
"23 Марта 2019 [07 38]" "В ближайшие 1-3 часа и до конца суток 23 марта в Адыгее ожидается сильное налипание мокрого снега на проводах и деревьях "
"22 Марта 2019 [22 26]" "В период с 02 часов до 06 часов 23 марта в Мурманской области ожидается усиление южного юго-западного ветра в порывах 20-24 м/с  снег  на западе области местами сильный  при видимости 500-1000 м  метель  сохранится до 14-17 часов 23 марта   В период 03-07 часов 23 марта в районе 01 подрайонах 273 274 28 29 301 302  побережье Норвегии  ожидается опасное волнение 9-11 м  сохранится до 08-12 часов 24 марта   В период 08-12 часов 23 марта в районе 01 в подрайонах 28 29 301 302  побережье Норвегии  ожидается усиление юго-западного  западного ветра 30-33 м/с  сохранится до 21-00 часа 23 марта "
"22 Марта 2019 [14 50]" "23-25 марта в Адыгее ожидаются заморозки  температура в воздухе ночью и утром -1   -4°  "
"22 Марта 2019 [14 01]" "23 марта в горах Краснодарского края  Адыгеи  выше 1500 м   Ингушетии  Чеченской Республики  Кабардино-Балкарии  Северной Осетии  выше 2000 м   Карачаево-Черкесии  Дагестана  выше 2500 м  лавиноопасно "
"22 Марта 2019 [08 10]" "22-23 марта на юге Камчатского края ожидается сильный снег  метель  в горных и предгорных районах налипание мокрого снега  восточный ветер 15-20 м/с  на юго-восточном побережье до 28 м/с  на юго-западном до 35 м/с "
"22 Марта 2019 [08 10]" "23 марта на юге Камчатского края ожидается сильный снег  метель  в горных и предгорных районах налипание мокрого снега  восточный ветер 30-35 м/с "
"21 Марта 2019 [10 25]" "В период с 18 часов 21 марта до 18 часов 22 марта в горах Кабардино-Балкарии  Северной Осетии выше 2000 м лавиноопасно  в горах Карачаево-Черкесии и Дагестана выше 2500 м лавиноопасно "
"21 Марта 2019 [08 15]" "Днем 21 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края сохранится ветер 22-27 м/с "
"21 Марта 2019 [00 05]" "В ближайшие 1-2 часа с сохранением ночью и утром 21 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается ветер 22-27 м/с "
"4 Марта 2019 [10 42]" "С 18 часов 4 марта до 18 часов 7 марта в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 15000 м лавиноопасно "
"4 Марта 2019 [10 42]" "С 18 часов 4 марта до 18 часов 7 марта в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"4 Марта 2019 [10 40]" "С 18 часов 4 марта до 18 часов 5 марта в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 2000 м лавиноопасно "
"3 Марта 2019 [12 00]" "3 марта в горах Кабардино-Балкарии и Северной Осетии выше 2000 м лавиноопасно "
"3 Марта 2019 [10 40]" "С 18 часов 3 марта до 18 часов 4 марта в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 2000 м лавиноопасно "
"3 Марта 2019 [01 20]" "До утра 3 марта в предгорной зоне и низких горах МО город-курорт Сочи  Краснодарский край  ожидается сильное налипание мокрого снега на проводах и деревьях "
"2 Марта 2019 [08 25]" "2-4 марта в горах Республики Алтай лавиноопасно "
"1 Марта 2019 [18 05]" "В ближайшие 1-3 часа и до конца суток 1 марта  ночью и утром 2 марта в горной зоне муниципального образования город-курорт Сочи ожидается очень сильный снег "
"1 Марта 2019 [16 10]" "В ближайшие 1-2 часа и до конца суток 1 марта  ночью и утром 2 марта в предгорной зоне и низких горах муниципального образования города-курорта Сочи ожидается сильное налипание мокрого снега на проводах и деревьях "
"1 Марта 2019 [13 50]" "В ближайшие 3-6 часов и до конца суток 1 марта  ночью и утром 2 марта местами в южной половине Краснодарского края ожидаются очень сильные осадки в виде дождя  мокрого снега и снега с ухудшением видимости в осадках до 500-1000 м  В ближайшие 1-3 часа и до конца суток 1 марта  сутки 2 марта на реках юго-западной и юго-восточной территории  Апшеронский район  Краснодарского края и в Адыгее  а также черноморского побережья на участке мо город-курорт Геленджик-Туапсинский район ожидается повышение уровней воды до неблагоприятных  местами опасных отметок "
"1 Марта 2019 [12 50]" "С 18 ч 1 марта до 18 ч 3 марта в горах муниципального образования города-курорта Сочи выше 1000 м лавиноопасно "
"1 Марта 2019 [11 00]" "В ближайшие 1-3 часа и до конца суток 1 марта в Адыгеи ожидается сильный и очень сильный юго-западный ветер 25-30 м/с "
"1 Марта 2019 [10 30]" "С 18 ч 1 марта до 18 ч 4 марта в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"1 Марта 2019 [10 25]" "В ближайший час с продолжительностью около 6 часов 1 марта в Чукотском автономном округе в континентальной части Певекского городского округа сохраняется усиление восточного ветра 15-20 м/с  с порывами 25-30 м/с  снег  сильная метель  видимость менее 500 м "
"28 Февраля 2019 [13 23]" "Во второй половине дня и до конца суток 28 февраля  в течение суток 1 марта в Крыму ожидается ветер юго-западный с переходом на северо-западный ветер 22-27 м/с  1 марта местами сильный дождь  в горах со снегом "
"27 Февраля 2019 [13 35]" "28 февраля в горах Кабардино-Балкарии и Северной Осетии выше 2000 м лавиноопасно "
"27 Февраля 2019 [07 15]" "Днем и с сохранением до конца суток 27 февраля в Краснодарском крае ожидается сильное налипание мокрого снега на проводах и деревьях "
"27 Февраля 2019 [07 15]" "Днем и с сохранением до конца суток 27 февраля в Краснодарском крае ожидается сильное налипание мокрого снега на проводах и деревьях "
"26 Февраля 2019 [11 35]" "27 февраля в горах Кабардино-Балкарии  Северной Осетии выше 2000 м  27 февраля-1 марта в горах Краснодарского края  Адыгеи  Ингушетии  Чеченской Республики выше 1500 м  27-28 февраля в горах муниципального образования города-курорта Сочи выше 1000 м лавиноопасно "
"26 Февраля 2019 [08 10]" "В течение суток 26 февраля на востоке Чукотского автономного округа ожидается усиление восточного ветра до 25 м/с  порывы 30-35 м/с  снег  сильная метель  видимость менее 500 м "
"26 Февраля 2019 [08 00]" "26 февраля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края сохранится южный ветер 15-20 м/с  порывы 22-27 м/с "
"14 Февраля 2019 [10 50]" "15-17 февраля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"14 Февраля 2019 [08 50]" "В период с 00 часов 15 февраля по 17 февраля включительно по горным территориям Усть-Большерецкого  Елизовского  особенно бассейна р  Паратунка   в том числе по территории Кроноцкого заповедника  Мильковского  Усть-Камчатского районов  а также вулканов Вилючинский  Козельский  Корякский и Авачинский лавиноопасно "
"13 Февраля 2019 [10 28]" "В ближайший час с сохранением до конца суток 13 февраля местами в Московской области и г  Москва ожидается сильное отложение мокрого снега на проводах и деревьях  гололед  на дорогах сильная гололедица "
"13 Февраля 2019 [07 23]" "13 февраля в Северо-Курильском районе ожидается сильный снег  7-19 мм за 12 часов   сильная метель при ветре 20-25 м/с  видимость 500 м и менее "
"12 Февраля 2019 [16 29]" "Ночью и утром 13 февраля в Крыму ожидается очень сильный дождь  в горах со снегом  усиление юго-западного с переходом на северо-западный ветра 20-25 м/с "
"12 Февраля 2019 [08 45]" "13 февраля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается ветер 22-27 м/с  метель "
"11 Февраля 2019 [11 15]" "12 февраля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается ветер 20-25 м/с "
"11 Февраля 2019 [10 55]" "12 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м  12-14 февраля в горах Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"11 Февраля 2019 [10 50]" "12-14 февраля в горах Краснодарского края и Адыгеи выше 1500 м лавиноопасно "
"11 Февраля 2019 [09 45]" "11-14 февраля на Сахалине ожидается аномально холодная погода со среднесуточной температурой ниже климатической нормы на 7° и более "
"10 Февраля 2019 [11 40]" "11 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно "
"9 Февраля 2019 [10 55]" "С 18 ч 9 февраля до 18 ч 10 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно "
"9 Февраля 2019 [10 40]" "До конца суток 9 февраля  ночью и в первой половине дня 10 февраля местами в Ставропольском крае ожидается сильный гололед "
"9 Февраля 2019 [08 20]" "Аномально холодная погода сохранится 10 февраля в Кемеровской области  минимальная температура -35° и ниже   10-11 февраля в Бурятии со среднесуточной температурой воздуха ниже климатической нормы на 7-12°"
"8 Февраля 2019 [16 59]" "В ближайшие 3 часа и до конца суток 8 февраля  ночью и утром 9 февраля в Ставропольском крае и в г  Ставрополе ожидается сильный гололед "
"8 Февраля 2019 [13 20]" "9 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана  9-11 февраля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"8 Февраля 2019 [11 08]" "С 12 00 ВСВ 8 февраля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается очень сильный южный ветер местами порывы 22-27 м/с "
"8 Февраля 2019 [06 00]" "9 февраля в течение суток и ночью 10 февраля на востоке Чукотского автономного округа ожидается ветер 25-30 м/с  на побережье Берингова моря 35-40 м/с  сильная метель "
"7 Февраля 2019 [14 05]" "8 февраля в Курганской области сохранится аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более "
"7 Февраля 2019 [12 45]" "8 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно "
"7 Февраля 2019 [09 55]" "7-11 февраля в Хакасии  г  Абакан  ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 12-14°  9 февраля в Новосибирской  Томской  Кемеровской областях  Алтайском крае  Республике Алтай ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более  сильный мороз  температура до -40°  "
"6 Февраля 2019 [22 00]" "В ближайшие 1-3 часа 6 февраля в Курской области ожидается сильное налипание мокрого снега на проводах и деревьях  В ближайший час с сохранением ночью и утром 7 февраля в Тульской  Рязанской  Владимирской областях  на юго-востоке Московской области ожидается снег  мокрый снег  сильное отложение мокрого снега  гололед  на дорогах сильная гололедица "
"6 Февраля 2019 [12 00]" "7-12 февраля в Иркутской области местами сохранится сильный мороз  температура ночью -49   -44°  7-10 февраля по озеру Байкал до -36°   7-12 февраля в Иркутске сохранится аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 8-14° "
"6 Февраля 2019 [12 00]" "7 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно "
"5 Февраля 2019 [11 16]" "7-8 февраля в Крыму ожидается резкое изменение погодных условий  снег с дождем  гололедно-изморозевые отложения  гололедица  ветер 15-20 м/с  понижение температуры воздуха на 10° "
"5 Февраля 2019 [10 25]" "6-8 февраля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"4 Февраля 2019 [15 30]" "Отмена ОЯ  до конца суток 4 февраля в Калмыкии сильное гололедно-изморозевое отложение не ожидается "
"4 Февраля 2019 [15 30]" "Отмена ОЯ  до конца суток 4 февраля в Калмыкии сильное гололедно-изморозевое отложение не ожидается "
"4 Февраля 2019 [14 10]" "6-7 февраля в Свердловской  Курганской и Челябинской областях ожидается местами сильный мороз  температура до -40°   8-9 февраля в южных и восточных районах Челябинской области ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более "
"4 Февраля 2019 [13 33]" "До конца суток 4 февраля  ночью и в первой половине дня 5 февраля на севере Ростовской области сохранится сильное гололедно-изморозевое отложение "
"4 Февраля 2019 [13 33]" "5 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана выше 1500 м лавиноопасно "
"4 Февраля 2019 [09 10]" "5-8 февраля в центральных районах Красноярского края сохранится  5-6 февраля в южных районах Красноярского края ожидается сильный мороз  температура -45   -40°  в центральных районах до -50°  "
"4 Февраля 2019 [08 50]" "4-9 февраля в Бурятии ожидается аномально холодная погода со среднесуточной температурой ниже климатической нормы на 7-10°  4-6 февраля сильный мороз  температура до -50° и ниже   4-6 февраля в Забайкальском крае ожидается сильный мороз  температура до -50° и ниже  "
"4 Февраля 2019 [06 10]" "5-8 февраля в Новосибирской  Томской  Кемеровской областях сохранится аномально холодная погода со среднесуточной температурой на 7° и более ниже климатической нормы  минимальная температура -35° и ниже   местами сильный мороз  температура до -40° и ниже  "
"3 Февраля 2019 [16 05]" "4-8 февраля в Алтайском крае ожидается аномально холодная погода со среднесуточной температурой на 7° и более ниже климатической нормы  минимальная температура -35° и ниже   местами сильный мороз  температура до -40° и ниже  "
"3 Февраля 2019 [12 40]" "4 февраля в Калмыкии сохранится сильное гололедно-изморозевое отложение "
"3 Февраля 2019 [11 55]" "4 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана выше 1500 м лавиноопасно "
"3 Февраля 2019 [08 00]" "3 февраля в Анадырском районе  Чукотский автономный округ  ожидается снег  сильная метель  ветер 15-20 м/с  порывы 25-30 м/с "
"3 Февраля 2019 [01 22]" "С 01 30 МСК 3 февраля в Орловской области местами ожидается сильное гололедно-изморозевое отложение "
"2 Февраля 2019 [21 55]" "В ближайшие 1-3 часа 2 февраля с сохранением в течение суток 3 февраля  а также ночью и в первой половине дня 4 февраля на севере Ростовской области местами ожидается сильное гололедно-изморозевое отложение "
"2 Февраля 2019 [15 45]" "Ночью  утром и до конца суток 3 февраля в Калмыкии в юго-западных и северных районах местами сохранится сильное гололедно-изморозевое отложение "
"2 Февраля 2019 [08 00]" "В период с 8 00 до 13 00 2 февраля местами в Орловской области ожидается сильное сложное отложение "
"1 Февраля 2019 [17 45]" "В течение суток 2 февраля сохранится сильное гололедно-изморозевое отложении местами в юго-западных  а также в северных районах Калмыкии "
"1 Февраля 2019 [16 45]" "В ближайший час 1 февраля с сохранением ночью 2 февраля местами в Тыве ожидается сильный северо-западный ветер 15-20 м/с  порывы до 25 м/с "
"1 Февраля 2019 [13 25]" "2 февраля на крайнем севере Свердловской области  3-7 февраля на всей территории Свердловской  Курганской областей  4-7 февраля в Челябинской области ожидается аномально холодная погода со среднесуточными температурами воздуха ниже климатической нормы на 7° и более  температура воздуха ночью -29   -35°   4-5 февраля в Свердловской  Курганской областях  5-6 февраля в Челябинской области местами сильный мороз  температура до -40°  днем -25   -30°  "
"1 Февраля 2019 [10 55]" "С 18 ч 1 февраля до 18 ч 2 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно "
"1 Февраля 2019 [10 00]" "2-6 февраля в Иркутской области ожидаются сильные морозы с минимальными температурами воздуха -40   -45°  местами -48   -53°  2-6 февраля в г  Иркутск ожидается аномально холодная погода со среднесуточной температурой воздуха на 8-14° ниже климатической нормы "
"1 Февраля 2019 [06 20]" "В ближайшие 6-8 часов с сохранением до конца суток 1 февраля и в течение суток 2 февраля на востоке Чукотского автономного округа ожидается снег  сильная метель с видимостью менее 500 м  ветер 25-30 м/с  на побережье Берингова моря до 35 м/с "
"31 Января 2019 [16 45]" "В ближайшие 3-5 часов с сохранением до конца суток 31 января и в течение суток 1 февраля в Калмыкии ожидается сильное гололедно-изморозевое отложение "
"31 Января 2019 [13 55]" "3-8 февраля в Омской области ожидается аномально холодная погода со среднесуточной температурой ниже климатической нормы на 10° и более  сильный мороз  температура до -40° и ниже  "
"31 Января 2019 [13 50]" "1-8 февраля в Ханты-Мансийском автономном округе ожидается аномально холодная погода со среднесуточной температурой ниже климатической нормы на 15° и более  сильный мороз  температура до -45° и ниже   3-8 февраля на юге Тюменской области ожидается аномально холодная погода со среднесуточной температурой ниже климатической нормы на 10° и более "
"31 Января 2019 [12 50]" "1 февраля в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана лавиноопасно "
"31 Января 2019 [09 45]" "1 февраля в горах Сахалина лавиноопасно "
"31 Января 2019 [09 11]" "Днем 1 февраля в Охтинском  Ногликском  Алекс -Сахалинском  Углегорском  Томаринском районах Сахалина ожидается сильная метель с видимостью 500 м и менее  Ветер 20-25 м/с "
"31 Января 2019 [07 55]" "Утром 1 февраля с сохранением в течение дня на территории Камчатского края ожидается КМЯ  в Усть-Камчатском  Алеутском  Мильковском  Карагинском районах сильный снег  метель  налипание мокрого снега  ветер в Усть-Камчатском районе 19-24 м/с  Карагинском  Олюторском районах 23-28 м/с "
"31 Января 2019 [07 55]" "Утром 1 февраля с сохранением в течение дня на территории Камчатского края ожидается КМЯ  в Усть-Камчатском  Алеутском  Мильковском  Карагинском районах сильный снег  метель  налипание мокрого снега  ветер в Усть-Камчатском районе 19-24 м/с  Карагинском  Олюторском районах 23-28 м/с  Алеутском  на побережье Усть-Камчатского района 25-30 м/с  "
"31 Января 2019 [07 35]" "1-3 февраля по горным территориям Елизовского  особенно бассейна р  Паратунка   по территории Кроноцкого запаведника  Мильковского  Усть-Камчатского районов  а также вулканов Вилючинский  Козельский  Корякский и Авачинский лавиноопасно "
"31 Января 2019 [07 35]" "1-3 февраля в горных районах Камчатского края лавиноопасно "
"31 Января 2019 [07 35]" "1-3 февраля по горным территориям Елизовского  особенно бассейна р  Паратунка   по территории Кроноцкого запаведника  Мильковского  Усть-Камчатского районов  а также вулканов Вилючинский  Козельский  Корякский и Авачинский лавиноопасео  Камчатского края лавиноопасно "
"30 Января 2019 [20 55]" "С 31 января на большей части Республики Коми и НАО ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 10° и более "
"30 Января 2019 [20 55]" "С 31 января на большей части Республики Коми и НАО ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 10° и более "
"30 Января 2019 [20 55]" "С 31 января на большей части Республики Коми и НАО ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 10° и более "
"30 Января 2019 [15 00]" "31 января-2 февраля в г  Нарьян-Мар ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 10° и более "
"30 Января 2019 [13 00]" "Сильный мороз 2-4 февраля в Эвенкийском муниципальном районе Красноярского края  температура ночью -55   -50°   1-4 февраля в центральных районах Красноярского края  -45   -40°  местами до -50°   1-8 февраля в г  Красноярск ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 12   18 °"
"30 Января 2019 [10 35]" "31 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно  31 января- 2 февраля в горах Краснодарского края  Адыгеи  Ингушетии  Чеченской Республики выше 1500 м лавиноопасно "
"30 Января 2019 [10 00]" "1-4февраля в Кемеровской области ожидается аномально холодная погода с минимальными температурами -35° и ниже  Местами сильные морозы -40° и ниже "
"30 Января 2019 [10 00]" "30 января-3февраля в большинстве районов Ямало-Ненецкого автономного округа ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 15° и более "
"29 Января 2019 [15 38]" "30 января в Нарьян-Маре  Ненецкий автономный округ  ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 10° и более "
